game_id,title,release_date,esrb,console,metascore,user_score,sales_mil,details
1050,Yomawari: Lost in the Dark,2022-10-25,T,Switch,79,7.0,,"To break a curse placed upon her, a young girl must venture into the haunted streets of her town at night to search for her lost memories while evading the twisted spirits that lurk in the darkness."
1051,Pokken Tournament DX,2017-09-22,E10+,Switch,79,7.3,1.160,Take direct control of one of over 20 prized Pokemon fighters to defeat other Pokemon in action-packed arena fights.
1052,Subsurface Circular,2018-03-01,E10+,Switch,79,7.9,,"When the truth is buried, go underground. Step into this new take on text-based adventure from the award-winning team behind Thomas Was Alone and Volume."
1053,Crystal Crisis,2019-05-28,E10+,Switch,79,7.5,,"An all-star cast of heroes has gathered to test their mettle in Crystal Crisis, a cute and chaotic new color-matching combat game for Nintendo Switch."
1054,Carto,2020-10-27,E,Switch,79,7.1,,"Carto is a chill adventure game wrapped around a unique, world-shifting puzzle mechanic."
1055,Runbow,2018-07-03,E,Switch,79,7.8,,Runbow is a fast-paced action party game with a novel color mechanic: Up-to nine players race against each other as platforms and obstacles appear and disappear when the background changes vibrant colors.
1056,When The Past Was Around,2020-12-15,E,Switch,79,6.6,,"When the Past was Around is an adventure point-and-click puzzle game about love, moving on, letting go, and the joy and pain of everything in between."
1057,New Pokemon Snap,2021-04-30,E,Switch,79,6.9,2.400,Photograph Pokémon in their natural habitats as you adventure through unknown islands.
1058,Neo Geo Pocket Color Selection Vol. 1,2021-03-17,T,Switch,79,9.2,,Relive the 10 classic games that defined the NEOGEO POCKET COLOR!
1059,Steins;Gate 0,2019-12-10,M,Switch,79,8.6,,If you can't save the on you love... ... How can you save humanity? - A new story in the critically-acclaimed Steins;Gate series.
1060,Sniper Elite 4,2020-11-17,M,Switch,79,7.7,,"Welcome to Italy, 1943. Set in the aftermath of its award-winning predecessor, Sniper Elite 4 continues the series World War Two heritage by transporting players across the beautiful Italian peninsula, from sun-drenched Mediterranean coastal towns, to colossal Nazi mega structures, daunting forests and giddying mountain monasteries inspired by Monte Cassino."
1061,Kingdom Hearts: Melody of Memory,2020-11-13,E10+,Switch,79,7.2,,"Experience the music of kingdom hearts like never before. Melody of memory features 20+ characters, 140+ music tracks, and online vs multiplayer mode."
1062,Capcom Arcade 2nd Stadium ,2022-07-22,T,Switch,79,4.5,,Included Games: 1943 Kai Black Tiger Block Block Capcom Sports Club Darkstalkers: The Night Warriors Eco Fighters Gan Sumoku (GunSmoke) Hissatsu Buraiken (Avengers)...
1063,Death Road to Canada,2018-05-08,T,Switch,79,7.4,,"Control a car full of jerks as they explore cities, recruit weird people, rescue dogs, argue with each other, and face gigantic swarms of slow zombies."
1064,"Pokemon: Let''s Go, Pikachu!",2018-11-16,E,Switch,79,6.3,15.070,"Catch Pokémon Like Never Before. The Poké Ball Plus is a Poké Ball-shaped device that can be used to play Pokémon: Let''s Go, Pikachu! and Pokémon: Let''s Go, Eevee! in place of your Joy-Con."
1065,Blazing Chrome,2019-07-11,T,Switch,79,7.6,,"In Blazing Chrome, bring your best pal and kick some metal butts to free the humankind while enjoying a classic run’n’gun, fully loaded with action and exciting fights."
1066,The Next Penelope,2017-12-21,E,Switch,79,7.2,,"The Next Penelope is an original 2D racing and action game, set in a futuristic Greece."
1067,Spyro Reignited Trilogy,2019-09-03,E10+,Switch,79,8.2,,"The original roast master is back. Same sick burns, same smoldering attitude, now all scaled up in stunning HD."
1068,Birushana: Rising Flower of Genpei,2022-06-28,T,Switch,79,,,"Fifteen years after the Heiji Rebellion, the Heike clan has reached the height of its power, while the Genji clan remains devastated by defeat."
1069,TOEM,2021-09-17,E,Switch,79,7.2,,Set off on a delightful expedition and use your photographic eye to uncover the mysteries of the magical TOEM in this hand-drawn adventure game.
1070,Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,2019-08-20,T,Switch,79,7.8,,"Build your Deck from over 9,000 cards and take on the most iconic Duelists from the Yu-Gi-Oh! universe."
1031,Yoshi's Crafted World,2019-03-28,E,Switch,79,7.9,3.350,Discover the flip side of Yoshis world. Lead Yoshi on a brand new adventure that will turn everything youve come to expect from side-scrolling games upside down!
301,Red Dead Redemption and Undead Nightmare,2023-08-17,M,Switch,83,4.8,,"Red Dead Redemption: When federal agents threaten his family, former outlaw John Marston is forced to hunt down the gang of criminals he once called friends."
899,Going Under,2020-09-24,T,Switch,81,7.5,,Going Under is a roguelite-inspired dungeon crawler about exploring the cursed ruins of failed tech startups.
793,Dynasty Warriors 8: Xtreme Legends - Complete Edition,2018-12-27,T,Switch,83,7.9,,Dynasty Warriors 8: Xtreme Legends' introduces entirely new levels of fun to the refreshing gameplay vanquishing swarms of enemies with mighty warriors found in 'Dynasty Warrors 8.'
794,The Last Campfire,2020-08-27,E,Switch,83,7.7,,"DISCOVER A PURPOSE The Last Campfire is an adventure, a story of a lost ember trapped in a puzzling place, searching for meaning and a way home."
795,Flipping Death,2018-08-07,T,Switch,83,7.3,0.010,"Welcome to Flatwood Peaks, a small whimsical town with a problem -- Death is on vacation."
796,Worms W.M.D.,2017-11-23,E10+,Switch,83,7.4,,"With a hand-drawn 2D look, brand new weapons, the introduction of crafting, vehicles and buildings plus the return of some classic weapons and gameplay, Worms W.M.D is back."
797,Reventure,2019-10-08,T,Switch,83,8.0,,The one and only non-linear adventure with 100 different endings.
798,Code:Realize - Guardian of Rebirth,2022-10-07,T,Switch,83,8.0,,"Restricted to an abandoned mansion on the outskirts of London in fulfillment of a promise to her father, lonely Cardia lives day to day isolated from the world."
799,The Excavation of Hob's Barrow,2023-01-25,M,Switch,83,8.0,,The Excavation of Hob's Barrow is a folk horror narrative-driven adventure.
800,No Man's Sky,2020-02-06,T,Switch,83,4.8,,No Man's Sky is an exploration and survival game set in an infinite procedurally generated universe.
801,The Legend of Nayuta: Boundless Trails,2023-09-19,E10+,Switch,83,8.0,,Nayuta spends his days gazing up at the stars above his island home and wondering what lies beyond the horizon.
802,Advance Wars 1 + 2: Re-Boot Camp,2023-04-21,E10+,Switch,82,8.1,,"Command an army in strategic, turn-based combat as a tactical adviser for the Orange Star Army."
803,Atelier Mysterious Trilogy Deluxe Pack,2021-04-22,T,Switch,82,8.1,,Atelier Sophie DX - Atelier Firis DX - Atelier Lydie & Suelle DX - with brand new content and various DLCs.
804,Islets,2022-08-24,E10+,Switch,82,8.1,,Iko is an aspiring yet hopeful warrior exploring the land and sky to reunite a series of floating islands.
805,Yoku's Island Express,2018-05-29,E10+,Switch,82,7.6,0.010,"Yoku’s Island Express is an open world/metroidvania-style pinball adventure, Seamlessly blending platform navigation with pinball mechanics across a large open world."
806,It Takes Two,2022-11-04,T,Switch,82,9.0,,From Hazelight comes It Takes Two an innovative co-op adventure where uniquely varied gameplay and emotional storytelling intertwine in a fantastical journey.
807,No More Heroes,2020-10-28,M,Switch,82,8.5,,"No More Heroes tells the story of Travis Touchdown, an anime fan who lives in the fictional town of Santa Destroy, California."
808,Atelier Ryza 3: Alchemist of the End & the Secret Key,2023-03-24,RP,Switch,82,7.5,,Ryza and her friends are living their lives on Kurken Island when news of a sudden appearance of a mysterious group of islands in nearby waters arrives.
809,Pinball FX3,2017-12-12,E10+,Switch,82,7.8,,"Pinball FX3 is the biggest, most community focused pinball game ever created."
810,Dorfromantik,2022-09-29,E,Switch,82,7.8,,Dorfromantik is a peaceful building strategy and puzzle game where you create a beautiful and ever-growing village landscape by placing tiles.
811,Coffee Talk Episode 2: Hibiscus & Butterfly,2023-04-20,T,Switch,82,7.5,,Dust off your coffee machine and prepare your warmest smile to meet your customers again in the second episode of the much loved coffee brewing and heart-to-heart talking simulator; Coffee Talk Episode 2: Hibiscus & Butterfly.
812,Flat Heroes,2018-08-02,E,Switch,82,8.2,,"Flat Heroes is a minimalistic, super intense action game starring squares for 1 to 4 players."
813,Horizon Chase Turbo,2018-11-28,E,Switch,82,8.1,,"Horizon Chase Turbo is a racing game inspired by the great hits of the 80’s and 90’s: Out Run, Top Gear, Rush, among others."
